Country,Very important,Rather important,Not very important,Not at all important,Inapplicable,NA,DK,(N)
Total,91.1,7.6,0.7,0.2,0,0.2,0.2,43.41.00
Argentina,91.4,7.5,0.7,0.2,0,0.1,0.1,01.02
Australia,93.7,4.6,1,0.1,0,0.5,0,08.01
Chile,90.2,8.7,0.6,0.3,0,0,0.2,1
China,78.1,19.3,1.4,0.1,0,0.1,1,17.31
Taiwan,91.7,7.5,0.6,0.2,0,0,0,04.47
Georgia,98.7,0.9,0.1,0.1,0,0.1,0.1,1.5
India,90.1,8.5,0.8,0,0,0,0.5,02.01
Japan,91.3,6.2,0.9,0.1,0,1.5,0,02.36
South Korea,92.3,7.5,0.2,0,0,0,0,1.2
Mexico,94.9,4.1,0.4,0.3,0,0.1,0.1,01.56
Moldova,83.1,15.6,1,0.3,0,0,0.1,01.46
New Zealand,93.3,5.5,1,0,0,0.2,0,954
Peru,81.4,16.7,1.7,0.1,0,0.1,0,1.5
Poland,93.6,5.4,0.4,0.3,0,0,0.3,1
Romania,85,12.3,0.7,0.3,0,1.2,0.5,13.56
Russia,89,8.8,1.1,0.2,0.1,0.1,0.7,02.33
Slovenia,88.7,8.9,1.3,0.8,0,0.3,0.1,01.37
South Africa,95.6,3.5,0.5,0.3,0,0,0,18.28
Spain,88.9,9.9,0.9,0.1,0.1,0,0.2,1.2
Sweden,92.1,6.8,0.7,0.3,0,0.1,0,01.03
Turkey,97.7,2.1,0.1,0.1,0.1,0,0,06.46
Ukraine,86.8,10.7,1.4,0.1,0,0.3,0.8,1
Egypt,97.7,2.1,0.2,0,0,0,0,03.51
United States,94.2,4.9,0.5,0,0,0.4,0,05.09
Uruguay,89.3,10,0.3,0.3,0,0.1,0,1
Serbia,93.2,5.7,0.3,0.2,0,0,0.6,01.22
