Country,Very important,Rather important,Not very important,Not at all important,Inapplicable,NA,DK,(N)
Total,58.3,29.9,6.9,3.3,0,0.8,0.8,43.41.00
Argentina,70.4,25.7,2.2,1.2,0,0.3,0.2,01.02
Australia,34.5,45.4,8.4,6.7,0,4.9,0,08.01
Chile,62.3,28.4,5.7,2.4,0,0.9,0.2,1
China,43.7,41.8,7.5,1.4,0,0.7,5,17.31
Taiwan,62.7,27.3,6.2,3.8,0,0,0,04.47
Georgia,77.9,13.3,5.4,3,0,0.1,0.3,1.5
India,67.9,25,3.9,1.5,0,0,1.7,02.01
Japan,47.4,37.5,9.9,1.5,0,3.7,0,02.36
South Korea,61.9,29.1,7.2,1.7,0,0,0,1.2
Mexico,84.9,12.6,1.3,0.6,0,0.4,0.1,01.56
Moldova,43.4,46.7,8.3,1.4,0,0,0.2,01.46
New Zealand,34.6,47.7,7.2,4.3,0,5.8,0.4,954
Peru,71.2,23.5,3.9,0.8,0,0.6,0,1.5
Poland,61,25.9,5.6,5.6,0,0,1.8,1
Romania,53.5,34.9,6.2,2.8,0,1.9,0.7,13.56
Russia,48.4,31.2,11.8,6.1,0.3,0.3,2,02.33
Slovenia,47,45.1,5,2.4,0,0.2,0.3,01.37
South Africa,77.4,14.5,3.5,2.9,0,0,1.7,18.28
Spain,51.9,35.8,6.2,5.5,0.2,0.4,0.1,1.2
Sweden,53.2,38.7,3.9,3.8,0,0.3,0,01.03
Turkey,56,30.5,8.4,4.8,0.1,0,0.1,06.46
Ukraine,39.1,38.7,13.2,7.8,0,0.1,1.1,1
Egypt,63.1,21.8,11.5,3.6,0,0,0,03.51
United States,32.2,47,12.9,6.8,0,1.1,0,05.09
Uruguay,69.4,22.6,4,1.9,0,2.1,0,1
Serbia,59.9,29.3,7.4,1.8,0,0.4,1.1,01.22
