Country,Very important,Rather important,Not very important,Not at all important,Inapplicable,NA,DK,(N)
Total,13.6,28.3,34.1,21.9,0,0.5,1.6,53.34.00
Argentina,8.3,22.4,34.9,32.9,0,1,0.4,01.03
Australia,7.8,35.5,41.1,10.8,0,4.7,0,08.57
Chile,7.4,14.7,40.8,35.9,0,0.5,0.7,1
China,10.4,28.3,46.5,7.2,0,0.9,6.8,2.3
Taiwan,6.7,23.3,48.7,19,0,0.3,1.9,04.58
Colombia,9.8,14.7,38.2,36.8,0,0,0.5,09.32
Georgia,10.2,34.8,26.3,28.6,0,0,0.1,04.22
India,17,26.2,26.8,25.9,0,0,4.1,05.18
Japan,23.5,42.6,23.9,2.7,0,0,7.2,09.23
South Korea,13.3,41.9,33.6,9.9,0,1.3,0,1.2
Mexico,17,28,31.8,23.3,0,0,0,2
New Zealand,7.3,39.7,37.3,10.9,0,4.8,0,841
Nigeria,21,28.1,33.4,17.4,0,0,0,13.39
Pakistan,8.6,28.3,32.1,30.3,0,0.3,0.4,1.2
Peru,12.7,21.2,42,21.5,0,1.2,1.4,01.21
Philippines,24.3,39.4,20.2,15.7,0,0,0.4,1.2
Poland,5.3,27.5,44.9,21.8,0,0,0.5,966
Romania,5.7,17,38,38.1,0,0.5,0.7,09.23
Russia,6.9,20.2,40.1,30.3,0.3,0.3,1.9,2.5
Slovenia,2,9.9,47,40.8,0,0.2,0.2,02.09
South Africa,21.4,24.2,28.9,23.7,0,0,1.8,11.51
Spain,5.9,15.8,41,36.5,0,0.3,0.4,04.09
Sweden,17.3,45.3,27.8,8.9,0.2,0.4,0.2,04.26
Turkey,16.1,31.3,32.3,19.2,0,0.2,0.9,11.05
Ukraine,7.4,21.1,42,29.5,0,0,0,1.5
Egypt,31,44,14,11,0,0,0,09.43
United States,11.2,41.8,34.9,11,0,1.1,0,05.52
Uruguay,11.6,17,33.8,36.8,0,0.5,0.3,1
