Country,Very important,Rather important,Not very important,Not at all important,Inapplicable,NA,DK,(N)
Total,43,22.3,18.1,14.3,0,0.5,1.8,53.34.00
Argentina,24.1,32.1,24.7,17.8,0,0.7,0.7,01.03
Australia,14.1,17,27.9,37.4,0,3.7,0,08.57
Chile,23.8,35.1,27.3,13,0,0.7,0.1,1
China,2.6,8,29.6,49.8,0,0.8,9.2,2.3
Taiwan,17.7,35,37.2,8.6,0,0,1.5,04.58
Colombia,58.9,26.5,11.1,3.5,0,0.1,0,09.32
Georgia,84.9,12.1,2.1,0.8,0,0,0,04.22
India,67.1,24.2,5.5,1.8,0,0,1.4,05.18
Japan,5.4,13.6,33.2,34.3,0,0,13.5,09.23
South Korea,25.7,28.5,26.1,18.5,0,1.2,0,1.2
Mexico,58.4,25.4,11.2,5,0,0,0,2
New Zealand,18.7,17.4,27.9,30.7,0,4.4,1,841
Nigeria,89.8,7.7,1.8,0.7,0,0,0,13.39
Pakistan,89.5,8,1.2,0.6,0,0.5,0.2,1.2
Peru,49.9,30.3,15.7,2.8,0,0.7,0.5,01.21
Philippines,85.9,12.2,1.6,0.3,0,0,0,1.2
Poland,45.7,33.9,15.1,4.8,0,0.1,0.4,966
Romania,50.5,33.3,12.7,3.2,0,0.1,0.3,09.23
Russia,14.3,27.5,30.5,22.4,0.6,0.7,4,2.5
Slovenia,11.2,21.7,40.5,25.9,0,0.4,0.3,02.09
South Africa,55.8,28.1,9.8,4.8,0,0,1.6,11.51
Spain,10.7,21.3,31.2,35.9,0,0.6,0.3,04.09
Sweden,7.9,18.3,38.5,34.3,0,0.7,0.4,04.26
Turkey,68.1,24.6,4,3,0,0,0.3,11.05
Ukraine,26.3,34.5,26.5,12.8,0,0,0,1.5
Egypt,94.1,5.7,0,0.1,0,0,0,09.43
United States,40.4,28,18.2,12.7,0,0.7,0,05.52
Uruguay,20.3,18.3,30.1,30.6,0,0.5,0.2,1
