Country,Very important,Rather important,Not very important,Not at all important,Inapplicable,NA,DK,(N)
Total,46,40.7,10.6,1.9,0,0.3,0.5,53.34.00
Argentina,53.9,33.6,10.5,1.7,0,0.2,0,01.03
Australia,55.6,37.5,3.5,0.4,0,3,0,08.57
Chile,35.1,43.6,18,2.2,0,0.3,0.8,1
China,46.6,44.4,6.7,0.4,0,0.8,1.1,2.3
Taiwan,44,46.3,8,0.6,0,0.1,1.1,04.58
Colombia,30.7,40.7,25.2,3.3,0,0.1,0,09.32
Georgia,74,23.4,2.2,0.3,0,0,0,04.22
India,44.9,40.4,9.5,3.5,0,0,1.6,05.18
Japan,45,47,5.4,0.4,0,0,2.2,09.23
South Korea,49.3,46,3.8,0.2,0,0.7,0,1.2
Mexico,38.6,39.4,17.4,4.6,0,0,0,2
New Zealand,57,35.2,4.9,0.1,0,2.7,0.1,841
Nigeria,62.2,32.3,5.1,0.4,0,0,0,13.39
Pakistan,42.6,40.5,14.3,2.3,0,0.2,0,1.2
Peru,23.5,32.4,40.4,2.6,0,0.6,0.5,01.21
Philippines,30.8,58.9,8.6,1.6,0,0,0.1,1.2
Poland,38.3,55.2,5,1.2,0,0,0.2,966
Romania,22.4,52.2,22.1,3.1,0,0.1,0,09.23
Russia,34.6,45.8,15.2,3.5,0.2,0.2,0.5,2.5
Slovenia,44.2,47.9,7.5,0.4,0,0.1,0,02.09
South Africa,44.7,37.1,13.4,4.4,0,0,0.3,11.51
Spain,52.4,42.8,3.5,0.1,0,1.1,0.1,04.09
Sweden,67.8,29.5,2.2,0.3,0,0.2,0,04.26
Turkey,58,38.9,2.3,0.4,0,0,0.4,11.05
Ukraine,44,41.6,12.3,2,0,0,0,1.5
Egypt,54.9,33.6,9,2.5,0,0,0,09.43
United States,53.5,39.8,5.1,0.8,0,0.8,0,05.52
Uruguay,51.4,31,13.6,3.7,0,0.1,0.2,1
