Country,Very important,Rather important,Not very important,Not at all important,NA,DK,(N)
Total,44.4,38.2,14.1,2.6,0.2,0.5,36.35.00
Argentina,49.7,30.4,15.9,2.8,0,1.2,01.28
Chile,29.1,41.5,20.2,8.5,0,0.7,1.2
China,19.9,61.9,14.3,1.7,2,0.2,1
India,39.2,38.3,15.3,5.6,0,1.6,02.02
Japan,46.6,45,5.2,0.1,0,3,07.02
South Korea,44.8,50.7,4.1,0.3,0,0.2,1.2
Mexico,37.8,38.3,17.1,5.7,0,1.1,09.55
Moldova,34.9,46.9,15,1.8,0,1.5,01.08
Nigeria,63.6,26.6,8.7,1,0,0,02.22
Pakistan,19.4,44.2,33.8,2.4,0,0,2
Peru,24.6,32.6,39.7,2.9,0,0.3,09.21
Philippines,36.8,51.4,10.2,1.4,0,0.2,1.2
South Africa,34.3,35.5,24.4,5.8,0,0.1,3
Spain,46.9,45.2,6.4,0.9,0,0.6,04.29
Sweden,70.7,26.9,2.2,0.2,0,0,01.14
Turkey,72.6,23.3,2.4,0.8,0.9,0,09.41
Egypt,37.3,46.3,13.2,3.2,0,0.1,3
United States,64.2,31.5,3.8,0.3,0,0.1,1.2
Serbia,57.5,37.8,4.3,0.2,0,0.2,1.2
