Country,Very important,Rather important,Not very important,Not at all important,NA,DK,(N)
Total,88.3,10,1.2,0.3,0,0.3,55.03.00
Argentina,86.6,12.1,1.3,0.1,0,0,02.19
Australia,90.2,8,1.4,0.4,0,0,02.48
Chile,88.8,8.9,1.1,0.1,0,1.1,1
China,76.5,22,1.2,0.1,0,0.3,1.5
Taiwan,77.7,20.6,0.9,0.4,0.1,0.3,780
Colombia,84,15.5,0.4,0.1,0,0,18.36
Georgia,94.6,4.3,0.5,0.4,0,0.1,02.08
India,90.8,7.9,0.9,0.1,0,0.2,02.04
Japan,89.8,8.3,0.7,0.2,0,0.9,01.54
South Korea,90.1,9.1,0.4,0,0.1,0.3,05.09
Mexico,74.3,22.1,3,0.3,0,0.3,01.51
Moldova,79,18.1,2.2,0.6,0,0.1,984
New Zealand,92.6,5.7,0.7,0.1,0.8,0.1,04.21
Nigeria,97.5,2.1,0.2,0,0,0.1,17.36
Pakistan,80.8,14.6,3.7,0.6,0,0.3,733
Peru,87.4,11.1,1.2,0,0,0.2,04.31
Philippines,95.8,4,0.1,0.1,0,0,1.2
Poland,89.7,9.5,0.2,0.2,0,0.5,03.33
Romania,88.6,8.9,2,0.2,0,0.2,04.59
Russia,83.7,12.6,2.6,0.7,0,0.4,02.04
Slovenia,82,14.5,1.8,1.1,0,0.6,01.07
South Africa,93.1,4.7,1.7,0.4,0,0.1,17.35
Spain,81.8,17.3,0.5,0.3,0,0.1,04.31
Sweden,90.2,8.2,1.4,0.2,0,0,01.09
Turkey,96.6,3,0.2,0.1,0,0,16.07
Ukraine,85.7,11.3,1.4,0.5,0,1.1,15.31
United States,95.2,4,0.6,0.1,0,0,10.02
Uruguay,91.3,7.1,1,0.5,0,0.2,1
Serbia,88.6,9.5,1.4,0.2,0,0.3,01.28
