Country,Very important,Rather important,Not very important,Not at all important,NA,DK,(N)
Total,13.1,25.4,34.2,25,0.1,2.3,55.03.00
Argentina,10.1,20.5,31.7,36.7,0,0.9,02.19
Australia,15,34.4,35.8,14,0,0.8,02.48
Chile,6.9,13,35,42.8,0,2.3,1
China,23.7,35.3,27.4,7.4,0,6.2,1.5
Taiwan,10.9,31,42.4,10.6,0.1,4.9,780
Colombia,12.4,13.5,40,33.7,0,0.4,18.36
Georgia,13.2,33.3,25.7,27.8,0,0,02.08
India,10.9,21.8,33.5,30.6,0,3.1,02.04
Japan,18.3,42.8,29.3,3.4,0,6.2,01.54
South Korea,19.2,45.6,28.2,5.8,0.2,1,05.09
Mexico,17.2,27.3,35.4,18.3,0,1.9,01.51
Moldova,6.6,21.1,42.7,27,0,2.5,984
New Zealand,7,34.7,41.1,11.7,4.2,1.3,04.21
Nigeria,21.4,21.4,31.3,23.3,0,2.7,17.36
Pakistan,7.7,12.4,19,56.3,0,4.6,733
Peru,13.1,22.7,36.4,22.1,0,5.6,04.31
Philippines,14.6,34,31.1,19.4,0,0.9,1.2
Poland,6.9,23.2,37.4,30.4,0,2.1,03.33
Romania,6.9,17.6,37.3,36.5,0,1.7,04.59
Russia,8.1,19.5,42.7,28.9,0,0.8,02.04
Slovenia,2.9,11.9,47.2,37.5,0,0.5,01.07
South Africa,18.7,25.3,26.4,26.2,0,3.4,17.35
Spain,7.8,15.3,32.1,42.7,0,2.1,04.31
Sweden,11,36.2,41,11.6,0,0.2,01.09
Turkey,24.2,27.4,23.4,24.2,0,0.8,16.07
Ukraine,6.4,21.9,39.2,26.9,0,5.6,15.31
United States,17.8,40.4,31.9,8.8,0,1,10.02
Uruguay,13.8,21.7,31.4,31.2,0,1.9,1
Serbia,7.3,16.6,42,32.1,0,2,01.28
